"","row","url","Latitude","Longitude","Address","PlugCount","PlugType","PlugPower","StationCount","AvailableCount","InUseCount","UnavailCount","ChargNetwork","DatePull"
"546",546,"https://www.plugshare.com/location/585949","['41.301007344545425']","['-72.91634372682371']","['95 Water St, New Haven, CT 06511, USA ']","['2 Plugs']","['CCS1']","['120 kW']","['1 Station']","['2']","['0']","['0']","['ViaLynk']","Sat Jun 07 2025 11:59:49 GMT-0400 (Eastern Daylight Time)"
"547",547,"https://www.plugshare.com/location/569897","['41.98196065086657']","['-72.654420604542']","['83 Mountain Rd, Suffield, CT 06078, USA ']","['2 Plugs']","['J-1772']","['11.5 kW']","['2 Stations']","['2']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 11:55:16 GMT-0400 (Eastern Daylight Time)"
"548",548,"https://www.plugshare.com/location/538930","['41.36297188781343']","['-72.11768201038961']","['452 Broad St, New London, CT 06320, USA ']","['1 Plug', '1 Plug']","['CHAdeMO', 'CCS1']","['62.5 kW', '62 kW']","['1 Station', '1 Station']","['0', '0']","['1', '1']","['0', '0']","['ChargePoint', 'ChargePoint']","Sat Jun 07 2025 12:24:28 GMT-0400 (Eastern Daylight Time)"
"549",549,"https://www.plugshare.com/location/727298","['41.281839']","['-73.027752']","['661 Orange Center Rd, Orange, CT 06477, USA ']","['2 Plugs']","['J-1772']","['9.568 kW']","['2 Stations']","['2']","['0']","['0']","['SWTCH']","Sat Jun 07 2025 11:31:13 GMT-0400 (Eastern Daylight Time)"
"550",550,"https://www.plugshare.com/location/638571","['41.95298440525829']","['-73.35992743558187']","['61 Railroad St, Falls Village, CT 06031, USA ']","['2 Plugs']","['J-1772']","['11.5 kW']","['2 Stations']","['2']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 12:13:26 GMT-0400 (Eastern Daylight Time)"
"551",551,"https://www.plugshare.com/location/563063","['41.581764']","['-72.502772']","['22 E High St, East Hampton, CT 06424, USA ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:35:45 GMT-0400 (Eastern Daylight Time)"
"552",552,"https://www.plugshare.com/location/707114","['41.76263']","['-72.66796']","['100 Columbus Boulevard, Hartford 06103 ']","['12 Plugs']","['J-1772']","['20 kW']","['12 Stations']","['12']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 12:12:26 GMT-0400 (Eastern Daylight Time)"
"553",553,"https://www.plugshare.com/location/589878","['41.76243425928928']","['-72.65983573869248']","['50 Founders Plaza, East Hartford, CT 06108, USA ']","['4 Plugs']","['J-1772']","['7.2 kW']","['4 Stations']","['4']","['0']","['0']","['EvGateway']","Sat Jun 07 2025 11:26:24 GMT-0400 (Eastern Daylight Time)"
"554",554,"https://www.plugshare.com/location/744042","['41.424329']","['-71.86394']","['183-B Providence-New London Turnpike, North Stonington 06359-1721 ']","['4 Plugs']","['J-1772']","['7.68 kW']","['4 Stations']","['1']","['0']","['0']","['EvGateway']","Sat Jun 07 2025 11:29:10 GMT-0400 (Eastern Daylight Time)"
"555",555,"https://www.plugshare.com/location/56362","['41.376238']","['-73.417803']","['13 Durant Ave, Bethel CT 06801 ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['1']","['1']","['0']","['ChargePoint']","Sat Jun 07 2025 12:34:17 GMT-0400 (Eastern Daylight Time)"
