"","row","url","Latitude","Longitude","Address","PlugCount","PlugType","PlugPower","StationCount","AvailableCount","InUseCount","UnavailCount","ChargNetwork","DatePull"
"1",1,"https://www.plugshare.com/location/328965","['41.294865']","['-73.494613']","['125 Danbury Rd, Ridgefield, CT 06877, USA ']","['2 Plugs']","['J-1772']","['9.6 kW']","['2 Stations']","['1']","['1']","['0']","['Shell Recharge']","Sat Jun 07 2025 11:22:48 GMT-0400 (Eastern Daylight Time)"
"2",2,"https://www.plugshare.com/location/707052","['41.14764873270171']","['-73.493949030924']","['71 Main St, New Canaan, CT 06840, USA ']","['2 Plugs']","['J-1772']","['9.6 kW']","['2 Stations']","['1']","['1']","['0']","['AmpUp']","Sat Jun 07 2025 11:20:48 GMT-0400 (Eastern Daylight Time)"
"3",3,"https://www.plugshare.com/location/660630","['41.33495']","['-72.04836']","['139 Tower Ave, Groton, CT 06340, USA ']","['4 Plugs']","['J-1772']","['6.656 kW']","['4 Stations']","['2']","['0']","['2']","['FLO']","Sat Jun 07 2025 12:23:52 GMT-0400 (Eastern Daylight Time)"
"4",4,"https://www.plugshare.com/location/602245","['41.213667989828025']","['-73.07782271138407']","['1 Boston Post Road, Milford, CT 06460, USA ']","['4 Plugs']","['J-1772']","['6.761 - 8.64 kW']","['4 Stations']","['1']","['0']","['3']","['Blink']","Sat Jun 07 2025 12:37:16 GMT-0400 (Eastern Daylight Time)"
"5",5,"https://www.plugshare.com/location/455381","['41.875313']","['-73.107544']","['811 Burr Mountain Rd, Torrington, CT 06790, USA ']","['4 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['4']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 12:36:11 GMT-0400 (Eastern Daylight Time)"
"6",6,"https://www.plugshare.com/location/547727","['41.038921']","['-73.560366']","['West Ave & 419 West Ave, Stamford, CT 06910, USA ']","['7 Plugs']","['J-1772']","['6.48 kW']","['4 Stations']","['5']","['2']","['0']","['ChargePoint']","Sat Jun 07 2025 12:04:32 GMT-0400 (Eastern Daylight Time)"
"7",7,"https://www.plugshare.com/location/642476","['41.82710753644691']","['-72.73498468101025']","['25 Jerome Avenue, Bloomfield, CT 06002, USA ']","['4 Plugs']","['J-1772']","['20 kW']","['4 Stations']","['4']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 12:34:58 GMT-0400 (Eastern Daylight Time)"
"8",8,"https://www.plugshare.com/location/712050","['41.419846589771346']","['-72.83851125396728']","['576 Washington Ave, North Haven, CT 06473 ']","['2 Plugs']","['J-1772']","['19.2 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 12:28:59 GMT-0400 (Eastern Daylight Time)"
"9",9,"https://www.plugshare.com/location/631362","['41.232672']","['-73.045208']","['1040 Boston Post Rd, Milford, CT 06460, USA ']","['1 Plug', '1 Plug']","['CCS1', 'CHAdeMO']","['125 kW', '125 kW']","['1 Station', '1 Station']","['0', '0']","['1', '1']","['0', '0']","['ChargePoint', 'ChargePoint']","Sat Jun 07 2025 12:34:51 GMT-0400 (Eastern Daylight Time)"
"10",10,"https://www.plugshare.com/location/571481","['41.1826']","['-73.1649']","['800 Union Ave, Bridgeport, CT 06607 ']","['4 Plugs']","['J-1772']","['9.568 kW']","['4 Stations']","['4']","['0']","['0']","['SWTCH']","Sat Jun 07 2025 12:03:43 GMT-0400 (Eastern Daylight Time)"
"11",11,"https://www.plugshare.com/location/567672","['41.55565795952817']","['-72.67135711097565']","['590 Washington St, Middletown, CT 06457, USA ']","['4 Plugs']","['J-1772']","['7.68 kW']","['4 Stations']","['4']","['0']","['0']","['EvGateway']","Sat Jun 07 2025 12:06:00 GMT-0400 (Eastern Daylight Time)"
"12",12,"https://www.plugshare.com/location/550586","['41.5163014']","['-72.9883636']","['91 Waterbury Rd, Prospect, CT 06712, USA ']","['2 Plugs']","['J-1772']","['6.24 kW']","['2 Stations']","['1']","['1']","['0']","['FLO']","Sat Jun 07 2025 12:21:50 GMT-0400 (Eastern Daylight Time)"
"13",13,"https://www.plugshare.com/location/586509","['38.90521824416255']","['-77.04149857583008']","['1150 Connecticut Ave NW, Washington, DC 20036, USA ']","['4 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['2']","['2']","['0']","['ChargePoint']","Sat Jun 07 2025 12:26:02 GMT-0400 (Eastern Daylight Time)"
"14",14,"https://www.plugshare.com/location/608122","['41.75992']","['-72.311042']","['227 Cross St, Coventry, CT 06238, USA ']","['2 Plugs']","['J-1772']","['6.24 kW']","['2 Stations']","['2']","['0']","['0']","['FLO']","Sat Jun 07 2025 11:48:27 GMT-0400 (Eastern Daylight Time)"
"15",15,"https://www.plugshare.com/location/367658","['41.555355']","['-72.679427']","['808 Washington St, Middletown 06457 ']","['3 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['2']","['0']","['1']","['ChargePoint']","Sat Jun 07 2025 12:35:18 GMT-0400 (Eastern Daylight Time)"
"16",16,"https://www.plugshare.com/location/596484","['41.221505']","['-73.062194']","['33 Railroad Ave, Milford, CT 06460, USA ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 12:09:40 GMT-0400 (Eastern Daylight Time)"
"17",17,"https://www.plugshare.com/location/188065","['41.235182']","['-73.038234']","['1201 Boston Post Rd, Milford, CT 06460, USA ']","['2 Plugs']","['J-1772']","['9.6 kW']","['2 Stations']","['0']","['2']","['0']","['Shell Recharge']","Sat Jun 07 2025 12:16:02 GMT-0400 (Eastern Daylight Time)"
"18",18,"https://www.plugshare.com/location/7813","['41.072695']","['-73.476791']","['138-142 Ledge Rd, Darien 06820 ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:32:13 GMT-0400 (Eastern Daylight Time)"
"19",19,"https://www.plugshare.com/location/427509","['41.637115']","['-72.873754']","['755 Queen St, Southington, CT 06489, USA ']","['2 Plugs']","['J-1772']","['15.12 kW']","['2 Stations']","['2']","['0']","['0']","['Blink']","Sat Jun 07 2025 11:35:57 GMT-0400 (Eastern Daylight Time)"
"20",20,"https://www.plugshare.com/location/603721","['41.785524']","['-72.623441']","['19 Columbus Cir, East Hartford, CT 06108, USA ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:45:33 GMT-0400 (Eastern Daylight Time)"
"21",21,"https://www.plugshare.com/location/579751","['41.310030859668245']","['-72.94135552552909']","['1450 Chapel Street, New Haven, CT 06511, USA ']","['65 Plugs']","['J-1772']","['8.64 kW']","['65 Stations']","['18']","['5']","['37']","['Blink']","Sat Jun 07 2025 11:55:31 GMT-0400 (Eastern Daylight Time)"
"22",22,"https://www.plugshare.com/location/744048","['41.713028']","['-72.664647']","['465 Silas Deane Hwy, Wethersfield, CT 06109 ']","['2 Plugs']","['J-1772']","['11.52 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:20:28 GMT-0400 (Eastern Daylight Time)"
"23",23,"https://www.plugshare.com/location/595463","['41.82615773989868']","['-72.89789282027246']","['210 Albany Turnpike, Canton, CT 06019, USA ']","['2 Plugs']","['J-1772']","['7.68 kW']","['2 Stations']","['2']","['0']","['0']","['EvGateway']","Sat Jun 07 2025 12:04:47 GMT-0400 (Eastern Daylight Time)"
"24",24,"https://www.plugshare.com/location/409651","['41.025846']","['-73.629718']","['80 Field Point Rd, Greenwich, CT 06830, USA ']","['6 Plugs']","['J-1772']","['6.713 - 8.64 kW']","['6 Stations']","['3']","['1']","['2']","['Blink']","Sat Jun 07 2025 11:25:54 GMT-0400 (Eastern Daylight Time)"
"25",25,"https://www.plugshare.com/location/574911","['41.57727349313542']","['-73.10059558600187']","['535 Straits Turnpike, Watertown, CT 06795, USA ']","['2 Plugs']","['J-1772']","['11.5 kW']","['2 Stations']","['0']","['1']","['1']","['AmpUp']","Sat Jun 07 2025 11:29:42 GMT-0400 (Eastern Daylight Time)"
"26",26,"https://www.plugshare.com/location/721749","['41.19919804250696']","['-73.21889327116392']","['3030 Park Ave, Bridgeport, CT 06604 ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 12:34:58 GMT-0400 (Eastern Daylight Time)"
"27",27,"https://www.plugshare.com/location/5964","['41.305223']","['-72.933971']","['60 York St, New Haven 06511 ']","['5 Plugs']","['J-1772']","['6.48 kW']","['3 Stations']","['1']","['2']","['1']","['ChargePoint']","Sat Jun 07 2025 12:03:43 GMT-0400 (Eastern Daylight Time)"
"28",28,"https://www.plugshare.com/location/638012","['41.914286802714074']","['-71.90789570246567']","['15 S Main St, Putnam, CT 06260, USA ']","['2 Plugs']","['J-1772']","['13.3 kW']","['2 Stations']","['2']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 12:39:46 GMT-0400 (Eastern Daylight Time)"
"29",29,"https://www.plugshare.com/location/602239","['41.360791']","['-72.871374']","['900 Universal Drive North, North Haven 06473 ']","['3 Plugs']","['J-1772']","['8.64 - 15.12 kW']","['3 Stations']","['2']","['1']","['0']","['Blink']","Sat Jun 07 2025 11:59:46 GMT-0400 (Eastern Daylight Time)"
"30",30,"https://www.plugshare.com/location/85206","['41.178102']","['-73.181651']","['275 E Main St Bridgeport, CT 06608, USA ']","['4 Plugs']","['J-1772']","['6.24 kW']","['4 Stations']","['0']","['0']","['4']","['Blink']","Sat Jun 07 2025 12:19:53 GMT-0400 (Eastern Daylight Time)"
"31",31,"https://www.plugshare.com/location/606583","['41.78167']","['-72.31231']","['1700 Main St, Coventry, CT 06238, USA ']","['2 Plugs']","['J-1772']","['6.24 kW']","['2 Stations']","['2']","['0']","['0']","['FLO']","Sat Jun 07 2025 11:37:12 GMT-0400 (Eastern Daylight Time)"
"32",32,"https://www.plugshare.com/location/603723","['41.785223']","['-72.623617']","['7 Columbus Cir, East Hartford, CT 06108, USA ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:58:22 GMT-0400 (Eastern Daylight Time)"
"33",33,"https://www.plugshare.com/location/19183","['41.330619']","['-73.472456']","['746 Danbury Rd, Ridgefield, CT 06877 ']","['2 Plugs', '2 Plugs']","['CHAdeMO', 'CCS1']","['62.5 kW', '62 kW']","['2 Stations', '2 Stations']","['2', '2']","['0', '0']","['0', '0']","['ChargePoint', 'ChargePoint']","Sat Jun 07 2025 12:02:18 GMT-0400 (Eastern Daylight Time)"
"34",34,"https://www.plugshare.com/location/570556","['41.30997875681354']","['-72.93464310185242']","['36 Edgewood Ave, New Haven, CT 06511, USA ']","['6 Plugs']","['J-1772']","['6.48 kW']","['3 Stations']","['3']","['3']","['0']","['ChargePoint']","Sat Jun 07 2025 11:52:10 GMT-0400 (Eastern Daylight Time)"
"35",35,"https://www.plugshare.com/location/35990","['41.281083']","['-72.437962']","['1525 Boston Post Rd, Westbrook, CT 06498, USA ']","['3 Plugs']","['J-1772']","['6.628 - 8.64 kW']","['3 Stations']","['1']","['0']","['2']","['Blink']","Sat Jun 07 2025 11:23:18 GMT-0400 (Eastern Daylight Time)"
"36",36,"https://www.plugshare.com/location/643518","['41.70554']","['-72.76685']","['245 Hartford Rd, New Britain, CT 06053, USA ']","['4 Plugs']","['J-1772']","['11.5 kW']","['4 Stations']","['2']","['0']","['2']","['AmpUp']","Sat Jun 07 2025 12:09:06 GMT-0400 (Eastern Daylight Time)"
"37",37,"https://www.plugshare.com/location/355628","['41.182017']","['-73.25415']","['2181-2233 Black Rock Turnpike, Fairfield 06825 ']","['2 Plugs']","['J-1772']","['9.6 kW']","['2 Stations']","['2']","['0']","['0']","['Shell Recharge']","Sat Jun 07 2025 11:28:09 GMT-0400 (Eastern Daylight Time)"
"38",38,"https://www.plugshare.com/location/608234","['41.547605']","['-73.037369']","['619 S Main St, Waterbury, CT 06706 ']","['8 Plugs']","['J-1772']","['6.48 kW']","['4 Stations']","['8']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:27:53 GMT-0400 (Eastern Daylight Time)"
"39",39,"https://www.plugshare.com/location/618416","['41.8700325']","['-72.8034026']","['690 Hopmeadow St, Simsbury 06070-5401 ']","['2 Plugs']","['J-1772']","['7.68 kW']","['2 Stations']","['0']","['1']","['1']","['EvGateway']","Sat Jun 07 2025 11:45:07 GMT-0400 (Eastern Daylight Time)"
"40",40,"https://www.plugshare.com/location/638007","['41.75655']","['-72.67848']","['510 Hudson St, Hartford, CT 06106, USA ']","['13 Plugs']","['J-1772']","['11.5 - 13.3 kW']","['13 Stations']","['10']","['0']","['3']","['AmpUp']","Sat Jun 07 2025 11:30:50 GMT-0400 (Eastern Daylight Time)"
"41",41,"https://www.plugshare.com/location/391456","['41.991128']","['-72.57768']","['25 Hazard Ave, Enfield, CT 06082, USA ']","['2 Plugs']","['J-1772']","['8.64 - 17.28 kW']","['2 Stations']","['0']","['2']","['0']","['Blink']","Sat Jun 07 2025 11:20:43 GMT-0400 (Eastern Daylight Time)"
"42",42,"https://www.plugshare.com/location/579494","['41.415656628442584']","['-73.42387893242083']","['102 Federal Rd, Danbury, CT 06810, USA ']","['2 Plugs']","['J-1772']","['8.64 kW']","['2 Stations']","['1']","['0']","['1']","['Blink']","Sat Jun 07 2025 12:28:38 GMT-0400 (Eastern Daylight Time)"
"43",43,"https://www.plugshare.com/location/652579","['41.41737346054953']","['-72.84161247087907']","['527 Washington Ave, North Haven, CT 06473, USA ']","['2 Plugs']","['J-1772']","['8.64 kW']","['2 Stations']","['2']","['0']","['0']","['Blink']","Sat Jun 07 2025 12:31:33 GMT-0400 (Eastern Daylight Time)"
"44",44,"https://www.plugshare.com/location/490099","['41.28106']","['-72.822372']","['45 N Main St, Branford, CT 06405, USA ']","['2 Plugs']","['J-1772']","['6.24 kW']","['2 Stations']","['2']","['0']","['0']","['FLO']","Sat Jun 07 2025 11:59:03 GMT-0400 (Eastern Daylight Time)"
"45",45,"https://www.plugshare.com/location/497486","['41.373181060745345']","['-71.95137278280075']","['55 Coogan Blvd, Mystic, CT 06355 ']","['12 Plugs']","['J-1772']","['12 - 16.6 kW']","['12 Stations']","['8']","['0']","['4']","['AmpUp']","Sat Jun 07 2025 11:43:23 GMT-0400 (Eastern Daylight Time)"
"46",46,"https://www.plugshare.com/location/625267","['41.359099']","['-72.12065']","['20 Chester Street, New London, CT 06320, USA ']","['2 Plugs']","['J-1772']","['6.24 kW']","['2 Stations']","['2']","['0']","['0']","['FLO']","Sat Jun 07 2025 12:02:09 GMT-0400 (Eastern Daylight Time)"
"47",47,"https://www.plugshare.com/location/710032","['41.01921']","['-73.63536']","['16 Old Track Rd, Greenwich, CT 06830, USA ']","['4 Plugs']","['J-1772']","['11.5 kW']","['4 Stations']","['4']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 11:56:09 GMT-0400 (Eastern Daylight Time)"
"48",48,"https://www.plugshare.com/location/568387","['41.55556349244584']","['-72.65143789350986']","['110 Church St, Middletown, CT 06457, USA ']","['2 Plugs', '2 Plugs', '2 Plugs']","['CHAdeMO', 'CCS1', 'J-1772']","['50 kW', '50 kW', '16.64 kW']","['2 Stations', '2 Stations', '2 Stations']","['1', '1', '2']","['1', '1', '0']","['0', '0', '0']","['FLO', 'FLO', 'FLO']","Sat Jun 07 2025 12:07:56 GMT-0400 (Eastern Daylight Time)"
"49",49,"https://www.plugshare.com/location/603702","['41.78515']","['-72.622628']","['8 Columbus Cir, East Hartford, CT 06108, USA ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:54:04 GMT-0400 (Eastern Daylight Time)"
"50",50,"https://www.plugshare.com/location/483991","['41.93202753591391']","['-72.59124153552827']","['76 N Rd, East Windsor, CT 06088, USA ']","['4 Plugs']","['J-1772']","['13.3 kW']","['4 Stations']","['4']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 11:50:02 GMT-0400 (Eastern Daylight Time)"
"51",51,"https://www.plugshare.com/location/627876","['41.823133']","['-72.825393']","['20 Hopmeadow Street, Weatogue 06089 ']","['1 Plug']","['J-1772']","['7.2 kW']","['1 Station']","['0']","['0']","['1']","['EV Connect']","Sat Jun 07 2025 11:26:49 GMT-0400 (Eastern Daylight Time)"
"52",52,"https://www.plugshare.com/location/147238","['41.539778']","['-72.800291']","['60 State St, Meriden 06450 ']","['4 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['1']","['1']","['0']","['ChargePoint']","Sat Jun 07 2025 11:34:52 GMT-0400 (Eastern Daylight Time)"
"53",53,"https://www.plugshare.com/location/626438","['41.547021']","['-72.814725']","['Edgewood Street, Meriden, CT 06451, USA ']","['4 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['4']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 12:10:45 GMT-0400 (Eastern Daylight Time)"
"54",54,"https://www.plugshare.com/location/747710","['41.70426257441411']","['-72.87538921230316']","['21 Spring Ln, Farmington, CT 06032, USA ']","['8 Plugs']","['J-1772']","['9.6 kW']","['8 Stations']","['8']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 11:21:54 GMT-0400 (Eastern Daylight Time)"
"55",55,"https://www.plugshare.com/location/590069","['41.79173466222457']","['-72.66903364358596']","['2814 main st, Hartford, CT 06120, USA ']","['2 Plugs']","['J-1772']","['7.7 kW']","['2 Stations']","['2']","['0']","['0']","['EvGateway']","Sat Jun 07 2025 11:51:14 GMT-0400 (Eastern Daylight Time)"
"56",56,"https://www.plugshare.com/location/459527","['41.052681']","['-73.52633']","['105 Myrtle Ave, Stamford 06902 ']","['1 Plug']","['J-1772']","['12 kW']","['1 Station']","['0']","['0']","['1']","['ChargePoint']","Sat Jun 07 2025 12:39:29 GMT-0400 (Eastern Daylight Time)"
"57",57,"https://www.plugshare.com/location/463510","['41.048465']","['-73.540877']","['677 Washington Blvd, Stamford 06901 ']","['4 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['3']","['1']","['0']","['ChargePoint']","Sat Jun 07 2025 11:54:11 GMT-0400 (Eastern Daylight Time)"
"58",58,"https://www.plugshare.com/location/768101","['41.804344']","['-72.25436']","['2075 Hillside Rd, Storrs, CT 06269 ']","['7 Plugs']","['J-1772']","['6.48 kW']","['7 Stations']","['3']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 12:27:59 GMT-0400 (Eastern Daylight Time)"
"59",59,"https://www.plugshare.com/location/609296","['41.28776768618328']","['-72.81282624173353']","['155 North Main StBranford, CT 06405, USA ']","['2 Plugs']","['J-1772']","['7.68 kW']","['1 Station']","['1']","['1']","['0']","['ChargePoint']","Sat Jun 07 2025 12:10:23 GMT-0400 (Eastern Daylight Time)"
"60",60,"https://www.plugshare.com/location/563046","['41.816116']","['-72.553764']","['25 Cedar Ave, South Windsor, CT 06074, USA ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 12:10:56 GMT-0400 (Eastern Daylight Time)"
"61",61,"https://www.plugshare.com/location/554627","['41.7646782']","['-72.6728689']","['700 Main St, Hartford, CT 06103, USA ']","['4 Plugs']","['J-1772']","['6.24 - 16.64 kW']","['2 Stations']","['3']","['1']","['0']","['Blink']","Sat Jun 07 2025 12:00:31 GMT-0400 (Eastern Daylight Time)"
"62",62,"https://www.plugshare.com/location/596482","['41.221457']","['-73.057861']","['54 S Broad St, Milford, CT 06460, USA ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:23:54 GMT-0400 (Eastern Daylight Time)"
"63",63,"https://www.plugshare.com/location/768105","['41.813709']","['-72.254992']","['3384 Tower Loop Road, Mansfield, CT 06269 ']","['6 Plugs']","['J-1772']","['6.48 kW']","['3 Stations']","['6']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 12:36:03 GMT-0400 (Eastern Daylight Time)"
"64",64,"https://www.plugshare.com/location/387130","['41.787649']","['-72.665935']","['89 Weston St, Hartford, CT 06120, USA ']","['4 Plugs']","['J-1772']","['19.2 kW']","['4 Stations']","['0']","['0']","['4']","['Blink']","Sat Jun 07 2025 11:30:09 GMT-0400 (Eastern Daylight Time)"
"65",65,"https://www.plugshare.com/location/461722","['41.488841']","['-72.681498']","['422 Main St, Durham, CT 06422, USA ']","['4 Plugs']","['J-1772']","['9.6 kW']","['4 Stations']","['3']","['0']","['1']","['AmpUp']","Sat Jun 07 2025 12:10:46 GMT-0400 (Eastern Daylight Time)"
"66",66,"https://www.plugshare.com/location/642398","['41.04055111720403']","['-73.54092201746596']","['101 Washington Blvd, Stamford 6902 ']","['8 Plugs']","['J-1772']","['8.64 kW']","['8 Stations']","['8']","['0']","['0']","['Blink']","Sat Jun 07 2025 12:31:05 GMT-0400 (Eastern Daylight Time)"
"67",67,"https://www.plugshare.com/location/606368","['41.782798']","['-72.31063']","['78 Ripley Hill Rd, Coventry, CT 06238, USA ']","['2 Plugs']","['J-1772']","['7.2 kW']","['2 Stations']","['1']","['1']","['0']","['FLO']","Sat Jun 07 2025 11:51:17 GMT-0400 (Eastern Daylight Time)"
"68",68,"https://www.plugshare.com/location/114438","['41.29426']","['-72.899957']","['189 Forbes Ave, New Haven 06512-1612 ']","['1 Plug', '1 Plug']","['CCS1', 'CHAdeMO']","['50 kW', '50 kW']","['1 Station', '1 Station']","['1', '1']","['0', '0']","['0', '0']","['EVgo', 'EVgo']","Sat Jun 07 2025 11:29:06 GMT-0400 (Eastern Daylight Time)"
"69",69,"https://www.plugshare.com/location/65767","['41.463643']","['-72.441644']","['374 Town St, East Haddam, CT 06423, USA ']","['3 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['2']","['0']","['0']","['ChargePoint, Schneider Electric']","Sat Jun 07 2025 12:41:23 GMT-0400 (Eastern Daylight Time)"
"70",70,"https://www.plugshare.com/location/214963","['41.525609']","['-72.074133']","['50 Franklin St, Norwich 06360 ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:51:04 GMT-0400 (Eastern Daylight Time)"
"71",71,"https://www.plugshare.com/location/588747","['41.598004']","['-72.651631']","['41 West St, Cromwell, CT 06416, USA ']","['4 Plugs']","['J-1772']","['6.24 kW']","['4 Stations']","['4']","['0']","['0']","['FLO']","Sat Jun 07 2025 11:56:23 GMT-0400 (Eastern Daylight Time)"
"72",72,"https://www.plugshare.com/location/561125","['41.82078101065809']","['-72.30890414351654']","['1498 Stafford Rd, Mansfield, CT 06268, USA ']","['2 Plugs']","['J-1772']","['7.2 kW']","['2 Stations']","['2']","['0']","['0']","['EvGateway']","Sat Jun 07 2025 12:15:51 GMT-0400 (Eastern Daylight Time)"
"73",73,"https://www.plugshare.com/location/638647","['41.54254']","['-72.08887']","['326 Washington St, Norwich, CT 06360, USA ']","['4 Plugs']","['J-1772']","['16.6 kW']","['4 Stations']","['4']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 11:34:45 GMT-0400 (Eastern Daylight Time)"
"74",74,"https://www.plugshare.com/location/512921","['41.576343']","['-72.671739']","['634 Newfield St, Middletown, CT 06457, USA ']","['4 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['4']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:55:24 GMT-0400 (Eastern Daylight Time)"
"75",75,"https://www.plugshare.com/location/642436","['41.14493']","['-73.2602']","['333 Unquowa Road, Fairfield 06824 ']","['4 Plugs']","['J-1772']","['9.6 kW']","['4 Stations']","['3']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 12:24:19 GMT-0400 (Eastern Daylight Time)"
"76",76,"https://www.plugshare.com/location/125367","['41.48033142089844']","['-72.776123046875']","['108 Leigus Rd, Wallingford, CT 06492 ']","['4 Plugs']","['J-1772']","['6.24 kW']","['4 Stations']","['2']","['0']","['2']","['Blink']","Sat Jun 07 2025 11:58:03 GMT-0400 (Eastern Daylight Time)"
"77",77,"https://www.plugshare.com/location/344846","['41.292363']","['-72.528256']","['23 Killingworth Turnpike, Clinton, CT 06413, USA ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:29:57 GMT-0400 (Eastern Daylight Time)"
"78",78,"https://www.plugshare.com/location/565450","['41.748098']","['-72.66436']","['75 Locust St, Hartford, CT 06114, USA ']","['4 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['4']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:44:20 GMT-0400 (Eastern Daylight Time)"
"79",79,"https://www.plugshare.com/location/643480","['41.378051317853846']","['-71.95507906745911']","['48 Whitehall Ave, Mystic, CT 06355 ']","['2 Plugs']","['J-1772']","['11.5 kW']","['2 Stations']","['2']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 12:41:21 GMT-0400 (Eastern Daylight Time)"
"80",80,"https://www.plugshare.com/location/727302","['41.776373']","['-72.226207']","['230 Clover Mill Rd, Storrs, CT 06268, USA ']","['4 Plugs']","['J-1772']","['6.656 kW']","['4 Stations']","['4']","['0']","['0']","['SWTCH']","Sat Jun 07 2025 12:38:17 GMT-0400 (Eastern Daylight Time)"
"81",81,"https://www.plugshare.com/location/618417","['41.7308522981988']","['-72.71828574239731']","['956 New Britain Ave, West Hartford 06110 ']","['2 Plugs']","['J-1772']","['7.68 kW']","['2 Stations']","['2']","['0']","['0']","['EvGateway']","Sat Jun 07 2025 12:38:10 GMT-0400 (Eastern Daylight Time)"
"82",82,"https://www.plugshare.com/location/650815","['41.69054276311334']","['-72.75953653263477']","['1395 East St, New Britain, CT 06053 ']","['2 Plugs']","['J-1772']","['11.5 kW']","['2 Stations']","['2']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 12:01:00 GMT-0400 (Eastern Daylight Time)"
"83",83,"https://www.plugshare.com/location/211600","['41.104791']","['-73.418883']","['100 N Water St, Norwalk, CT 06854 ']","['1 Plug', '4 Plugs']","['CCS1', 'J-1772']","['50 kW', '9.6 kW']","['1 Station', '4 Stations']","['1', '2']","['0', '2']","['0', '0']","['Shell Recharge', 'Shell Recharge']","Sat Jun 07 2025 12:21:27 GMT-0400 (Eastern Daylight Time)"
"84",84,"https://www.plugshare.com/location/711158","['41.746213']","['-73.191202']","['39 West St, Litchfield, CT 06759, USA ']","['1 Plug', '1 Plug', '4 Plugs']","['CHAdeMO', 'CCS1', 'J-1772']","['62.5 kW', '62 kW', '12 kW']","['1 Station', '1 Station', '4 Stations']","['1', '1', '2']","['0', '0', '0']","['0', '0', '0']","['ChargePoint', 'ChargePoint', 'ChargePoint']","Sat Jun 07 2025 12:27:35 GMT-0400 (Eastern Daylight Time)"
"85",85,"https://www.plugshare.com/location/706728","['41.32525']","['-72.10606']","['83 Mansfield Rd, New London, CT 06320, USA ']","['2 Plugs']","['J-1772']","['11.5 kW']","['2 Stations']","['2']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 11:46:33 GMT-0400 (Eastern Daylight Time)"
"86",86,"https://www.plugshare.com/location/603698","['41.785497']","['-72.624879']","['46 Columbus Cir, East Hartford, CT 06108, USA ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:30:38 GMT-0400 (Eastern Daylight Time)"
