url,Latitude,Longitude,Address,PlugType,PlugPower,StationCount,AvailableCount,InUseCount,UnavailCount,ChargNetwork,DatePull
https://www.plugshare.com/location/112315,"[""41.268415""]","[""-72.948327""]","[""355 Campbell Ave, West Haven, CT 06516, USA ""]","[""CCS1"",""CHAdeMO""]","[""50 kW"",""50 kW""]","[""1 Station"",""1 Station""]","[""0"",""0""]","[""0"",""0""]","[""0"",""0""]","["""",""""]",Sun Jun 01 2025 17:58:22 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/112363,"[""41.640687""]","[""-73.319259""]","[""9 Bryan Hall Plaza, Washington Depot, CT 06794, USA ""]","[""J-1772"",""Wall""]","["" kW"","" kW""]","[""2 Stations"",""1 Station""]","[""0"",""0""]","[""0"",""0""]","[""0"",""0""]","[""Independent Operators"",""""]",Sun Jun 01 2025 17:58:27 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/112448,"[""41.47098""]","[""2.085902""]","[""2 Calle Cesar Martinell, Sant Cugat del Valles, Spain, 100 ""]","[""Type 2""]","[""11 kW""]","[""1 Station""]","[""0""]","[""0""]","[""0""]","[""Tesla Destination""]",Sun Jun 01 2025 17:58:30 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/112457,"[""41.695214""]","[""2.833118""]","[""Avinguda Amèrica, 1, 17310 Lloret de Mar, Girona, Spain ""]","[""Type 2""]","[""22 kW""]","[""1 Station""]","[""0""]","[""0""]","[""0""]","[""Tesla Destination""]",Sun Jun 01 2025 17:58:32 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/113312,"[""41.772526""]","[""-72.707041""]","[""39 Elizabeth St, Hartford, CT 06105, USA ""]","[""J-1772""]","["" kW""]","[""1 Station""]","[""0""]","[""0""]","[""0""]","[""""]",Sun Jun 01 2025 17:58:36 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/113372,"[""41.741696""]","[""-72.718112""]","[""471 New Park Ave, West Hartford, CT 06110, USA ""]","[""CCS1"",""CHAdeMO""]","[""62 kW"",""62.5 kW""]","[""1 Station"",""1 Station""]","[""0"",""0""]","[""1"",""1""]","[""0"",""0""]","[""ChargePoint"",""ChargePoint""]",Sun Jun 01 2025 17:58:38 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/11348,"[""41.728676""]","[""-72.72802""]","[""60 Woodlawn Street, West Hartford, CT 06110, USA ""]","[""J-1772""]","[""11.5 kW""]","[""14 Stations""]","[""12""]","[""0""]","[""2""]","[""AmpUp""]",Sun Jun 01 2025 17:58:41 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/113511,"[""41.465702""]","[""-73.486871""]","[""4 Brush Hill Rd, New Fairfield, CT 06812, USA ""]","[""J-1772""]","["" kW""]","[""1 Station""]","[""0""]","[""0""]","[""0""]","[""ChargePoint""]",Sun Jun 01 2025 17:58:46 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/11352,"[""41.985096""]","[""-71.91497""]","[""108 Mountain Hill Rd, North Grosvenor Dale, CT 06255, USA ""]","[""Wall""]","["" kW""]","[""1 Station""]","[""0""]","[""0""]","[""0""]","[""""]",Sun Jun 01 2025 17:58:48 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/113905,"[""41.964288""]","[""2.804543""]","[""Calle de la Industria, 22, 17005‎ Gerona‎ Cataluña, España ""]","[""Type 2""]","["" kW""]","[""2 Stations""]","[""0""]","[""0""]","[""0""]","[""""]",Sun Jun 01 2025 17:58:51 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/114438,"[""41.29426""]","[""-72.899957""]","[""189 Forbes Ave, New Haven 06512-1612 ""]","[""CCS1"",""CHAdeMO""]","[""50 kW"",""50 kW""]","[""1 Station"",""1 Station""]","[""0"",""0""]","[""0"",""0""]","[""1"",""1""]","[""EVgo"",""EVgo""]",Sun Jun 01 2025 17:58:53 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/114445,"[""41.203718""]","[""-73.271582""]","[""4180 Black Rock Turnpike, Fairfield, CT 06824, USA ""]","[""NACS (Tesla)""]","[""17 kW""]","[""3 Stations""]","[""0""]","[""0""]","[""0""]","[""Tesla Destination""]",Sun Jun 01 2025 17:58:56 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/115189,"[""41.664383""]","[""-71.911631""]","[""18 Pratt Rd, Plainfield, CT 06374, USA ""]","[""Wall""]","["" kW""]","[""1 Station""]","[""0""]","[""0""]","[""0""]","[""""]",Sun Jun 01 2025 17:58:59 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/115271,"[""41.584333""]","[""1.628599""]","[""Avinguda del Mestre Montaner, 87–92, 08700‎ Igualada‎ Catalonië, Spain ""]","[""CHAdeMO""]","[""50 kW""]","[""1 Station""]","[""0""]","[""0""]","[""0""]","[""""]",Sun Jun 01 2025 17:59:02 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/115272,"[""41.73069""]","[""1.836993""]","[""08243‎ Manresa‎ Catalonië, Spain ""]","[""CHAdeMO""]","[""50 kW""]","[""1 Station""]","[""0""]","[""0""]","[""0""]","[""""]",Sun Jun 01 2025 17:59:04 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/115273,"[""41.552555""]","[""2.015701""]","[""Carrer del Pare Font, 2, 08223‎ Terrassa‎ Catalonië, Spanje ""]","[""CHAdeMO""]","[""50 kW""]","[""1 Station""]","[""0""]","[""0""]","[""0""]","[""""]",Sun Jun 01 2025 17:59:08 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/115274,"[""41.328221""]","[""2.046266""]","[""Carrer de la Riera Roja, 29, 08830‎ Sant Boi de Llobregat‎ Catalonië, Spanje ""]","[""CHAdeMO""]","[""50 kW""]","[""1 Station""]","[""0""]","[""0""]","[""0""]","[""""]",Sun Jun 01 2025 17:59:10 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/115276,"[""41.35238""]","[""2.120069""]","[""Avinguda de la Gran Via de l'Hospitalet, 149, 08908‎ l'Hospitalet de Llobregat‎ Catalonië, Spanje ""]","[""CHAdeMO""]","[""50 kW""]","[""1 Station""]","[""0""]","[""0""]","[""0""]","[""""]",Sun Jun 01 2025 17:59:13 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/115278,"[""41.432432""]","[""2.204988""]","[""Carrer del Fra Juníper Serra, 65, 08030‎ Barcelona‎ Catalonië, Spanje ""]","[""CHAdeMO"",""CCS2"",""Type 2""]","[""50 kW"",""50 kW"",""50 kW""]","[""1 Station"",""1 Station"",""1 Station""]","[""0"",""0"",""0""]","[""0"",""0"",""0""]","[""0"",""0"",""0""]","["""","""",""""]",Sun Jun 01 2025 17:59:15 GMT-0400 (Eastern Daylight Time)
