X.1,lat,long,checkins,address,name,station_info,X,url_location,locationIDs
74573,41.484018,1.918069,All Checkins (2),"https://www.google.com/maps/dir//Avenida Comte de Llobregat, 12, 08760 Martorell, Barcelona, Spain","FGC Estació trens de Martorell | Martorell, CT | EV Station",Wall (Euro) 2 Plugs  kW 2 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,390390,https://www.plugshare.com/location/89109,89109
74575,41.402684,2.194711,All Checkins (17),"https://www.google.com/maps/dir//Barcelona, Carrer de Roc Boronat, 127","Doesnt Work!! EdRR Santiago Losada Media-TIC TRIO | Barcelona, CT | EV Station",Type 2 1 Plug 50 kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked CHAdeMO 1 Plug 50 kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked CCS2 1 Plug 50 kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,333536,https://www.plugshare.com/location/89111,89111
74727,41.903868,-72.467936,All Checkins (159),"https://www.google.com/maps/dir//57 Main St, Ellington, CT 06029, USA","Ellington Town Hall | Ellington, CT | EV Station",J-1772 2 Plugs 9.6 kW 2 Stationscheck_circle2 Availableaccount_circle0 In Useremove_circle0 UnavailableAmpUp Non-networked,390421,https://www.plugshare.com/location/89470,89470
74744,41.332546,-72.044744,All Checkins (34),"https://www.google.com/maps/dir//155 Tower Ave Groton CT 06340, United States","Groton New London Airport | Groton, CT | EV Station",J-1772 2 Plugs  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,333683,https://www.plugshare.com/location/89510,89510
74779,41.955366,3.217116,All Checkins (0),"https://www.google.com/maps/dir//Carrer del Corall, 11–19, 17255‎ Aiguafreda‎ Catalonia, Spain","Begur Villas | Begur, CT | EV Station",Commando 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,333714,https://www.plugshare.com/location/89596,89596
74968,41.47673,-72.907097,All Checkins (113),"https://www.google.com/maps/dir//1021 S Main St, Cheshire, CT 06410, USA","Big Y World Class Market | Cheshire, CT | EV Station",J-1772 2 Plugs  kW 2 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,333855,https://www.plugshare.com/location/89919,89919
75476,41.824636,3.077119,All Checkins (1),"https://www.google.com/maps/dir//160 Av. del Cavall Bernat, 160, Platja d'Aro, Spain, 17250","Salles Hotel & Spa Cala del Pi | Platja d'Aro, CT | EV Station",Type 2 1 Plug 22 kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableTesla Destination Non-networked,333879,https://www.plugshare.com/location/89962,89962
75496,41.880496,-72.800186,All Checkins (305),"https://www.google.com/maps/dir//20 Pent Rd, Simsbury, CT 06070, USA","Simsbury Town Hall | Simsbury, CT | EV Station",J-1772 2 Plugs  kW 2 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,333895,https://www.plugshare.com/location/89998,89998
75528,41.22672,-73.062358,All Checkins (96),"https://www.google.com/maps/dir//103 W Main St, Milford, CT 06460, USA","Wasson Field | Milford, CT | EV Station",J-1772 2 Plugs  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,333922,https://www.plugshare.com/location/90093,90093
75534,44.1693267636321,28.6122118849335,All Checkins (1520),"https://www.google.com/maps/dir//Strada Cumpenei 2, Constanța 900147, Romania","Cora Brătianu Constanta | Constanța, CT | EV Station",Type 2 2 Plugs 22 kW 2 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableEV Connect Romania Non-networked,333926,https://www.plugshare.com/location/90108,90108
