X,name,url_location
11233,"I-95 Milford SB Service Plaza - Mobil | Milford, CT | EV Station",https://www.plugshare.com/location/12067
11236,"Hotel Camiral - PGA Catalunya | Vallcanera, CT | EV Station",https://www.plugshare.com/location/120683
11315,"The Wallingford Victorian Inn | Wallingford, CT | EV Station",https://www.plugshare.com/location/120868
11560,"Hammonasset Beach State Park - South | Madison, CT | EV Station",https://www.plugshare.com/location/121526
11825,"Trumbull/State St Parking Lot | New Haven, CT | EV Station",https://www.plugshare.com/location/122079
11857,"Hotel Ibis | Constanța, CT | EV Station",https://www.plugshare.com/location/122123
11914,"Gengras Volkswagon | Plainville, CT | EV Station",https://www.plugshare.com/location/122228
11926,"Bolles Motors Ellington | Ellington, CT | EV Station",https://www.plugshare.com/location/122252
12293,"Bell Street Garage | Stamford, CT | EV Station",https://www.plugshare.com/location/12305
12549,"Dinosaur State Park | Rocky Hill, CT | EV Station",https://www.plugshare.com/location/123637
12779,"Hotel Aigua Blava S.A  | Begur, CT | EV Station",https://www.plugshare.com/location/124114
12963,"Casa Rural Sant Petrus de Madrona | Pinell de Solsonès, CT | EV Station",https://www.plugshare.com/location/124467
13008,"Hammonasset Beach State Park - West Beach Lot B | Madison, CT | EV Station",https://www.plugshare.com/location/124581
13324,"Moody School | Middletown, CT | EV Station",https://www.plugshare.com/location/125229
13388,"Campus at Greenhill | Wallingford, CT | EV Station",https://www.plugshare.com/location/125367
13584,"Parcare Sala Sporturilor | Constanța, CT | EV Station",https://www.plugshare.com/location/125836
13899,"La Boella Tarragona | La Canonja, CT | EV Station",https://www.plugshare.com/location/126473
14201,"Tesla Service Center Milford | Milford, CT | EV Station",https://www.plugshare.com/location/127035
14364,"100 Washington Garage | Stamford, CT | EV Station",https://www.plugshare.com/location/127307
14610,"Hotel B&B Viladecans | Viladecans, CT | EV Station",https://www.plugshare.com/location/127825
14839,"Storrs Center Parking Garage | Mansfield, CT | EV Station",https://www.plugshare.com/location/12821
15067,"EdRR Montigalà AMB (DC50kW AC43kW) | Badalona, CT | EV Station",https://www.plugshare.com/location/128651
15479,"B&B Hotel Barcelona Sant Cugat | Sant Cugat del Vallès, CT | EV Station",https://www.plugshare.com/location/129356
15843,"St Vincent's Medical Center - Visitor Garage | Bridgeport, CT | EV Station",https://www.plugshare.com/location/130090
15904,"Alexion Pharmaceuticals | New Haven, CT | EV Station",https://www.plugshare.com/location/130201
16435,"Blue Back Square | West Hartford, CT | EV Station",https://www.plugshare.com/location/13123
16507,"Petrem El Molí | Figueres, CT | EV Station",https://www.plugshare.com/location/131381
16508,"Petrem Eco Figueres Sud | Santa Llogaia d'Àlguema, CT | EV Station",https://www.plugshare.com/location/131382
16510,"EdRR Ajuntament de Mataró 50kW (Finlàndia) | Mataró, CT | EV Station",https://www.plugshare.com/location/131384
16511,"EdRR GAVÀ AMB 04 - carrer del Progrés | Gavà, CT | EV Station",https://www.plugshare.com/location/131385
16885,"Hotel Termes Montbrio | Montbrió del Camp, CT | EV Station",https://www.plugshare.com/location/132056
17253,"Gran Hotel Rey Don Jaime | Castelldefels, CT | EV Station",https://www.plugshare.com/location/132642
17388,"Newtown Municipal Center | Newtown, CT | EV Station",https://www.plugshare.com/location/132845
17579,"Centre Comercial L'Illa Diagonal | Barcelona, CT | EV Station",https://www.plugshare.com/location/133118
17923,"Total Service International  | Constanța, CT | EV Station",https://www.plugshare.com/location/133689
17935,"Pratt & Whitney Engineering & Technology Center | East Hartford, CT | EV Station",https://www.plugshare.com/location/133711
18221,"Mercadona Tordera | Tordera, CT | EV Station",https://www.plugshare.com/location/134369
18222,"Esser Petrol station | Pineda de Mar, CT | EV Station",https://www.plugshare.com/location/134370
18409,"EdRsR Tortosa PIRVEC-15 | Tortosa, CT | EV Station",https://www.plugshare.com/location/134697
18494,"Wilton Auto and Tire Center | Wilton, CT | EV Station",https://www.plugshare.com/location/134947
18506,"4 Stamford Plaza | Stamford, CT | EV Station",https://www.plugshare.com/location/134975
18585,"Eversource | Bloomfield, CT | EV Station",https://www.plugshare.com/location/13514
